id,title,uploader,artist,tags,duration_seconds,upload_date,view_count,like_count,year_uploaded,tag_count
w5PuF7n1KJ4,🌊 Italy caves and falls ⛰️ ASMR,Little Twinkle,,[],615,20240515,6,0,2024,0
KFn5QN6Y8OY,"Michael Jackson, Britney Spears - The Way You Make Me Feel 4K",Victor Costa Productions,,"['Britney Spears', 'Michael Jackson', '30th Anniversary', 'The Way You Make Me Feel', 'Duet', '4k', 'HD', 'Full HD', 'Sow', 'Live', '2001', 'Madison Square Garden', 'New York.']",359,20190731,772517,11993,2019,13
UtpBjLiMlWI,Beginner Friendly Flaky Pain au Chocolat,Brian Lagerstrom ,,"['chocolate croissant', 'pain au chocolate', 'beginner croissants', 'beginner chocolate croissant', 'making chocolate croissant', 'beginner friendly croissant', 'chocolate croissant recipe', 'laminate chocolate croissant', 'book fold', 'beginner baking', 'beginner pastry', 'chocolate pastry', 'flaky chocolate croissant', 'Brian lagerstrom', 'weeds and sardines', 'pan au chocolate', 'pain au chocolat', 'how to make pain au chocolat', 'chocolatine']",666,20230626,347488,12405,2023,19
FPvvEgSqj_0,Amazing 4 Year Transformation - Tour our Renovated French Chateau Home,How To Renovate A Chateau,,"['Chateau', 'chateaulife', 'newlife', 'countrylife', 'diy', 'renovating', 'familylife', 'restoration', 'france', 'castle', 'doing it ourselves', 'chateau diaries', 'doing it our selves', 'living in france', 'chateau Bed & breakfast', 'boutique hotel', 'luxury hotel', 'house tour', 'chateau tour', 'french property', 'country life', 'barock', 'architecture', 'architectural digest', 'escape to the chateau', 'howtorenovateachateau', 'escape to the country side', 'renovation', 'french style', 'house and garden', 'Architecture daily', 'open door', 'inside']",729,20230716,1637189,57997,2023,33
7CVfTd-_qbc,La La Land (2016) - Another Day of Sun Scene (1/11) | Movieclips,Movieclips,,"['la la land movie', 'la la land film', 'la la land scene', 'la la land clip', 'la la land part', 'la la land full movie', 'la la land song', 'la la land singing', 'la la land ost', 'la la land soundtrack', 'la la land music', 'la la land ryan gosling', 'la la land emma stone', 'la la land john legend', 'la la land rosemarie dewitt', 'la la land finn wittrock', 'la la land damien chazelle', 'la la land piano', 'la la land city of stars', 'la la land ending', 'la la land epilogue', 'la la land mia']",228,20180411,3550100,38628,2018,22
zCmtL45j3Fo,"20 Min Yin Yoga For Sore Hips | Ease Discomfort, Increase Flexibility & Clear Your Mind Perfectly",Boho Beautiful Yoga,,"['yoga for stress', 'yoga for anxiety', 'yoga for depression', 'yoga for tension muscles', 'yin yoga', 'best yin yoga for stress', 'yin yoga for hips', 'yin yoga for hamstrings', 'yoga for muscle stiffness', 'yoga for stiff muscles', 'yoga for hip pain', 'boho beautiful', 'boho beautiful yoga', 'juliana spicoluk', 'best yoga for all levels', 'yin yoga for sore body', 'yoga for muscle soreness', 'yoga for tension']",1423,20250616,131291,2501,2025,18
Htzamn0cl78,El tiempo entre costuras - Trailer HD,trailersencasa,,[],331,20131112,220851,1625,2013,0
UAEqdo0Dn-k,Guided Morning Meditation | 15 Minutes For Inner Peace & A Guaranteed Perfect Day,Boho Beautiful Yoga,,"['boho', 'Juliana spicoluk', 'mark spicoluk', 'best yoga', 'morning meditation', 'guided meditation', 'mindful movement', 'mindfulness meditation', 'meditation for anxiety', '10 minute morning meditation', 'morning motivation', 'guided meditation morning', 'inner peace meditation', 'meditation for inner peace', 'guided meditation for inner peace and calm', 'stress reduction', 'morning meditation 10 minutes', 'morning meditation for anxiety', 'guided meditation for anxiety', 'best meditation', 'best guided meditation']",999,20230327,1324644,21877,2023,21
E0Hmnixke2g,All Machine Learning algorithms explained in 17 min,Infinite Codes,,"['machine learning algorithms', 'machine learning', 'machine learning tutorial', 'what is machine learning', 'machine learning models explained', 'machine learning algorithms explained', 'machine learning basics', 'machine learning explained in 10 minutes', 'machine learning algorithms in python', 'machine learning tutorial for beginners', 'machine learning course', 'machine learning python', 'algorithms', 'introduction to machine learning', 'complete machine learning algorithms', 'data science', 'deep learning']",989,20240917,1110907,44976,2024,17
nbelrZHSCjU,"""Find Me"", World Champion Ice Dancers Gabriella Papadakis, Guillaume Cizeron perform 2020 Free Dance",On Ice Perspectives,,"['Ice Skating', 'Figure Skating', 'Ice Dancing', 'Ice Skate', 'Figure Skate', 'Ice Skater', 'Figure Skater', 'Winter Olympics', 'Ice Dance', 'Ice Dancer', 'patinaje', 'patinadores', 'pattinaggio', 'patinaje artistico', 'patinage artistique', 'pattinaggio artistico', 'patinaje sobrehielo', 'フィギュアスケート', '피겨스케이팅', 'фигурноекатание', 'Gabriella Papadakis', 'Guillaume Cizeron', 'Ice Academy of Montreal', 'Montreal']",263,20210214,4894802,104235,2021,24
xxdCKPjaeiU,"Pixar's Gatto - 2027 Hand-Drawn Movie ANNOUNCED, FIRST LOOK & DETAILS!",Dave Lee Down Under,,"['movies', 'movie history', 'Cartoon', 'Cartoons', 'Classic Cartoon', 'Classic Cartoons', 'Cartoon History', 'Film History', 'Movie History', 'australian movie critic', 'australian film reviewer', 'australian movie reviewer', 'australian film critic', 'cartoon evolution', 'dave lee down under', 'australian interviewer', 'dave lee interview', 'australian celebrity interviewer']",241,20250613,19913,599,2025,18
